iter	Passed	Remaining
0	99	98962
1	124	62088
2	151	50192
3	175	43794
4	199	39609
5	224	37142
6	246	34969
7	271	33687
8	292	32160
9	313	30995
10	334	30114
11	356	29315
12	376	28572
13	397	28000
14	421	27692
15	442	27193
16	463	26813
17	486	26515
18	506	26177
19	528	25916
20	549	25612
21	570	25348
22	590	25097
23	611	24880
24	634	24735
25	656	24578
26	678	24433
27	698	24245
28	719	24075
29	738	23875
30	758	23701
31	779	23576
32	799	23421
33	820	23305
34	841	23194
35	862	23094
36	883	23000
37	903	22876
38	927	22842
39	947	22733
40	968	22662
41	989	22567
42	1011	22516
43	1055	22930
44	1096	23261
45	1126	23353
46	1151	23343
47	1175	23305
48	1198	23252
49	1226	23303
50	1253	23323
51	1276	23268
52	1301	23255
53	1327	23262
54	1356	23300
55	1381	23294
56	1403	23219
57	1425	23150
58	1445	23061
59	1469	23019
60	1490	22946
61	1515	22932
62	1537	22860
63	1556	22769
64	1576	22682
65	1597	22613
66	1619	22550
67	1640	22482
68	1661	22419
69	1682	22348
70	1703	22292
71	1724	22221
72	1744	22155
73	1767	22118
74	1787	22048
75	1809	22001
76	1830	21940
77	1851	21885
78	1872	21829
79	1892	21761
80	1913	21710
81	1935	21669
82	1961	21671
83	1982	21617
84	2003	21563
85	2027	21545
86	2048	21498
87	2071	21467
88	2093	21424
89	2115	21389
90	2136	21341
91	2157	21291
92	2178	21250
93	2205	21255
94	2226	21211
95	2247	21161
96	2270	21137
97	2290	21083
98	2313	21056
99	2334	21011
100	2355	20967
101	2375	20917
102	2397	20876
103	2418	20834
104	2440	20801
105	2462	20772
106	2483	20728
107	2505	20689
108	2525	20643
109	2546	20601
110	2566	20554
111	2589	20529
112	2625	20610
113	2658	20658
114	2699	20771
115	2738	20869
116	2778	20972
117	2802	20946
118	2823	20905
119	2847	20881
120	2868	20836
121	2890	20801
122	2911	20759
123	2933	20725
124	2957	20702
125	2979	20668
126	3003	20643
127	3033	20669
128	3058	20653
129	3079	20608
130	3100	20566
131	3120	20521
132	3143	20493
133	3166	20464
134	3194	20470
135	3218	20447
136	3242	20424
137	3264	20390
138	3286	20356
139	3307	20317
140	3326	20264
141	3347	20228
142	3369	20193
143	3391	20160
144	3412	20123
145	3433	20084
146	3455	20050
147	3477	20016
148	3498	19980
149	3522	19962
150	3551	19966
151	3571	19923
152	3593	19893
153	3615	19860
154	3636	19824
155	3657	19788
156	3678	19752
157	3705	19746
158	3728	19719
159	3749	19682
160	3771	19653
161	3793	19623
162	3815	19593
163	3837	19560
164	3863	19549
165	3899	19592
166	3925	19578
167	3945	19541
168	3968	19513
169	3992	19491
170	4014	19464
171	4037	19436
172	4058	19401
173	4079	19363
174	4099	19326
175	4121	19295
176	4144	19269
177	4165	19238
178	4187	19206
179	4208	19173
180	4233	19154
181	4253	19117
182	4274	19083
183	4295	19048
184	4313	19003
185	4335	18975
186	4357	18944
187	4378	18909
188	4400	18882
189	4425	18866
190	4447	18838
191	4470	18811
192	4492	18782
193	4514	18757
194	4538	18733
195	4564	18722
196	4587	18698
197	4609	18669
198	4631	18641
199	4652	18611
200	4674	18580
201	4697	18556
202	4719	18528
203	4742	18503
204	4762	18470
205	4785	18446
206	4807	18415
207	4829	18389
208	4853	18370
209	4875	18341
210	4897	18313
211	4922	18296
212	4944	18270
213	4968	18247
214	4992	18227
215	5013	18198
216	5036	18174
217	5058	18146
218	5080	18118
219	5103	18094
220	5127	18072
221	5150	18048
222	5172	18022
223	5196	18000
224	5218	17976
225	5242	17955
226	5267	17937
227	5291	17915
228	5316	17898
229	5340	17880
230	5363	17854
231	5388	17836
232	5410	17811
233	5434	17789
234	5458	17768
235	5481	17744
236	5504	17720
237	5527	17697
238	5550	17672
239	5573	17649
240	5600	17636
241	5622	17610
242	5646	17589
243	5670	17569
244	5693	17545
245	5717	17523
246	5742	17507
247	5766	17485
248	5794	17476
249	5817	17453
250	5842	17433
251	5865	17410
252	5889	17388
253	5913	17366
254	5938	17351
255	5965	17337
256	5989	17316
257	6014	17297
258	6043	17289
259	6070	17277
260	6097	17265
261	6129	17265
262	6155	17250
263	6182	17236
264	6212	17230
265	6239	17218
266	6267	17205
267	6293	17190
268	6320	17175
269	6348	17163
270	6375	17149
271	6405	17143
272	6431	17127
273	6460	17117
274	6488	17105
275	6515	17090
276	6542	17077
277	6571	17065
278	6597	17049
279	6625	17036
280	6651	17020
281	6679	17007
282	6706	16991
283	6735	16980
284	6761	16964
285	6790	16952
286	6819	16942
287	6851	16938
288	6878	16922
289	6904	16904
290	6933	16893
291	6962	16882
292	6992	16872
293	7019	16857
294	7047	16843
295	7075	16828
296	7102	16812
297	7133	16803
298	7167	16803
299	7200	16801
300	7234	16799
301	7261	16782
302	7288	16766
303	7314	16747
304	7343	16733
305	7371	16719
306	7399	16702
307	7426	16685
308	7451	16663
309	7476	16641
310	7501	16620
311	7529	16604
312	7556	16584
313	7582	16564
314	7607	16543
315	7635	16527
316	7661	16506
317	7686	16485
318	7717	16474
319	7747	16462
320	7769	16435
321	7792	16408
322	7817	16385
323	7840	16358
324	7862	16330
325	7885	16302
326	7907	16274
327	7936	16260
328	7960	16235
329	7986	16215
330	8010	16189
331	8033	16163
332	8056	16136
333	8079	16110
334	8103	16085
335	8126	16060
336	8151	16037
337	8175	16012
338	8198	15985
339	8220	15958
340	8244	15933
341	8267	15906
342	8291	15881
343	8313	15853
344	8336	15827
345	8359	15801
